ID, full_names, score1, score2
31888, Aimee Cain, 38, 26
28668, Maria Power, 39, 38
17315, Leigh Robson, 25, 31
30738, Les Langford, 48, 38
17366, Travis Rhodes, 25, 38
14109, Jesse Arnold, 37, 28
13613, Kerrie Woodward, 46, 28
25881, Raymond Sampson, 28, 43
27220, Joan Low, 42, 28
10676, Desiree Cook, 47, 40
12630, Gerry Stewart, 21, 27
13815, Iris Hogg, 45, 43
19049, Juanita Dyson, 24, 37
12028, Peta Stuart, 46, 41
22353, Shaun Crouch, 41, 41
29317, Rosemary McKay, 35, 49
16517, Johan McCarthy, 27, 26
14872, Simone Dale, 46, 39
14912, Roslyn Barber, 38, 31
14069, Gordon Mansfield, 46, 22
12032, Theo Gibbs, 32, 41
11191, Ken Condon, 33, 40
13349, Ralph Wise, 32, 26
15998, Sandra Connolly, 25, 40
15418, Hazel Wheeler, 46, 40
16882, Wally Forrest, 21, 49
25079, Kat Reeves, 22, 36
27156, Michele Singh, 31, 30
27982, Jodi Borg, 22, 39
12472, Jackie Field, 29, 49
27861, Geoffrey Rutherford, 25, 25
28732, Errol Pope, 37, 24
10672, Maureen Daniel, 45, 35
17617, Yvonne Dale, 27, 36
16895, Dirk Hurst, 23, 40
16838, Patricia Randall, 43, 48
25355, Robert Newton, 29, 42
23087, Lara Ware, 41, 31
31478, Lucas Cooke, 37, 30
10921, Kristian Gordon, 35, 46
14143, Jasmin Humphries, 24, 42
25398, Terry Manning, 28, 43
16805, Phillip Birch, 25, 31
12501, Nicky Ritchie, 29, 36
13488, Christie Lawler, 28, 21
24719, Kristian Holden, 33, 34
12286, Kelli Charles, 45, 49
31027, Ray Lancaster, 38, 40
12943, Vivienne Amos, 32, 38
26105, Nathan Sykes, 23, 41
20493, Oscar Schultz, 44, 32
19363, Haydn Lockwood, 48, 35
27681, Joe Sun, 36, 24
15248, Aileen Vella, 30, 20
16503, Betty Austin, 41, 44
15512, Janelle Watson, 34, 31
28002, Rod Fernando, 42, 30
12963, Jasmin Howard, 22, 24
20325, Cliff Jenkins, 36, 24
15063, Sam Matheson, 31, 47
10102, Dirk Jeffery, 43, 46
23410, Angus Edwards, 46, 28
24893, Alice Reid, 22, 35
21232, Justin Roach, 46, 33
12761, Kristin Savage, 43, 28
28046, Charmaine Shields, 32, 22
14816, Carlo Fogarty, 48, 48
22128, Justine FitzPatrick, 37, 24
19566, Pam Cummins, 20, 44
19324, Louis McFarlane, 22, 42
25006, Maj Barker, 27, 38
27610, Lauren Pike, 21, 46
23114, Brian Young, 24, 24
21022, Lily MacKenzie, 27, 38
11066, Vince McCormick, 28, 39
25541, Tricia George, 35, 48
19509, Jeff Murdoch, 42, 48
26221, Amber Lynch, 40, 38
12722, Trent Gates, 26, 31
12797, Robbie English, 49, 34
23635, Marina Callaghan, 39, 35
31139, Lee-Anne Baxter, 24, 37
19905, Meredith Cooper, 27, 42
11094, Nadia Bates, 40, 49
12609, Mel Terry, 47, 23
11841, Nicholas Kirk, 41, 24
13267, Jo-Anne Salter, 28, 20
12188, Steph Miller, 34, 21
18046, Thomas Maloney, 28, 49
24535, Noelene McArthur, 36, 27
20745, Jeff Montgomery, 49, 29
18795, Jodie Judd, 21, 26
29693, Coral Garner, 30, 27
31737, Deanne O'Reilly, 24, 34
29055, Kristina Pritchard, 34, 31
14709, Krystal Hobson, 24, 48
14742, Kym Dean, 39, 20
11536, Toni Cross, 49, 30
11941, Margaret Hills, 32, 47
16969, Sam Gibson, 46, 39
19272, Pamela Cochrane, 38, 38
12992, Cindy Murray, 44, 47
19664, Duane Noble, 20, 42
12209, Jeffrey O'Keefe, 32, 28
22891, Juan Arnold, 20, 45
19921, Roslyn Morrison, 26, 47
12181, Veronica Pascoe, 45, 42
22228, Mr Stone, 31, 30
10763, Danielle Kirby, 48, 22
15590, Faith Taylor, 41, 45
31402, Michele Irwin, 29, 28
16364, Phil Barton, 28, 33
10147, Rachelle McCallum, 20, 27
17676, Renae Henderson, 25, 48
14935, Renae Lancaster, 41, 43
23368, Lesley Simpson, 24, 44
11014, Phillipa Wall, 38, 43
10817, Vincent Judd, 38, 45
29299, Mel Pollock, 23, 25
29353, Gabrielle Wilkins, 30, 46
18289, Anthony McNamara, 23, 33
11098, Glenda Murdoch, 24, 29
18787, Cara O'Connor, 23, 25
23156, Marie McLeod, 41, 40
20389, Philippa Tang, 33, 45
28917, Libby Oliver, 32, 48
11493, Ali Morton, 45, 42
13056, Lin Peterson, 38, 45
20917, Vivian Chang, 28, 28
17243, Col Arnold, 38, 35
27487, Glenda Mitchell, 32, 23
32782, Rhonda Webb, 43, 47
15287, Norma Zhang, 42, 30
11071, Jules Casey, 20, 31
10722, Brock Finlay, 23, 37
17103, Harry MacFarlane, 32, 41
11954, Cameron Ferris, 42, 32
17606, Bill Murray, 47, 28
15653, Martin Leslie, 31, 47
21362, Ana Street, 44, 32
10215, Hamish Christie, 42, 35
26227, Bruce Keogh, 46, 31
18150, Vijay Faulkner, 48, 43
11828, Desiree Crowley, 26, 32
20247, Andrea Reid, 44, 43
18992, Samantha Kidd, 44, 27
23105, Morgan Dempsey, 24, 42
16132, Callum Bradford, 24, 30
13383, Amelia Boyle, 46, 48
31003, Geoff Clarke, 21, 31
22489, Martina Duncan, 24, 40
17193, Helen MacPherson, 22, 49
25242, Gerard Marsh, 35, 21
18972, Peta Tobin, 29, 31
12877, Audrey Dean, 23, 34
17114, Lynda Jensen, 45, 30
10327, Aimee Hope, 20, 39
10531, Elena Holden, 42, 32
15420, Phill Ingram, 22, 27
19854, Jacquie Schmidt, 49, 41
10080, Catriona Hutchinson, 35, 23
19218, Danny Flynn, 26, 47
13290, Marlene Ralph, 24, 22
24634, Neil Nugent, 32, 29
17476, Gloria O'Brien, 40, 29
18863, Matthew Carroll, 33, 33
10194, Trina Banks, 32, 48
17355, Margaret Nolan, 32, 33
22915, Abigail Kay, 28, 28
13765, Gwen Inglis, 26, 46
13542, Rex Lee, 48, 49
10649, Noelene Dickson, 20, 47
15568, Bev Garner, 48, 48
13606, Brianna Amos, 31, 22
23463, Roslyn Law, 42, 45
10245, Justin Frost, 20, 27
24441, Johanna Low, 27, 26
27742, Grace Leonard, 23, 33
27177, Rachelle Weston, 32, 28
23671, Darcy Middleton, 25, 24
16792, Jonathan Johnstone, 23, 46
16776, Martha Milne, 48, 26
16013, Jodie Stubbs, 43, 32
17603, Kath Watts, 39, 22
18939, Brad Hills, 29, 27
23455, Kelvin Woolley, 32, 29
28803, Jodi Terry, 38, 30
22934, Suzy FitzGerald, 34, 42
13953, Mitchell Haynes, 38, 47
17687, Francesca Lau, 45, 28
12803, Dwayne Cohen, 40, 41
14491, Cathy Birch, 44, 46
25089, Hans Vaughan, 45, 34
26186, Carly Hackett, 35, 40
16245, Robin Walters, 20, 33
13416, Michaela Barker, 25, 42
15425, Rochelle Mead, 40, 22
12673, Jayden Thorne, 23, 48
18446, Charmaine Wheatley, 39, 41
11470, Anton Nielsen, 38, 49
15149, Jarrod Byrnes, 25, 35
21624, Chantal Faulkner, 48, 48
13513, Keith Chalmers, 32, 47
11935, Ric Roach, 39, 34
12217, Clinton Partridge, 28, 30
13737, Louisa Stone, 20, 47
10035, Gary Murray, 38, 26
19736, Esther Clifford, 47, 38
28698, Leigh O'Rourke, 45, 29
23511, Terence Chapman, 49, 20
24861, Barrie Eaton, 39, 23
11385, Zoe Fogarty, 29, 20
15747, Kristine Lau, 22, 23
21852, Noel Huang, 20, 30
23925, Alistair Jensen, 28, 44
13777, Dan Stafford, 32, 25
26016, Kaylene Collins, 26, 26
33550, Ann Burt, 26, 41
14140, Boris Reid, 37, 34
16622, Syed Dyer, 26, 33
15906, Diane Mooney, 37, 40
14812, Frances Wells, 42, 31
18539, Neale Best, 25, 28
23761, Ash Kirk, 25, 40
16964, Alana Bradley, 46, 45
21800, Marg Horton, 29, 31
18520, Anne-Marie Neil, 38, 43
19927, Evelyn Forsyth, 27, 25
14505, Grahame Bates, 45, 41
12378, Marnie Shields, 22, 22
26271, Nadia Read, 22, 21
19944, Graeme Hood, 41, 40
17055, Elisabeth Dawes, 27, 41
14011, Clayton Clancy, 45, 28
17627, Carlo MacKie, 21, 23
21662, Jemma Rayner, 28, 37
17981, Errol Nielsen, 28, 40
16502, Karin Johnston, 34, 35
14459, Madeleine Barlow, 36, 41
11748, Karen Woods, 23, 39
22727, Tracy Caldwell, 22, 31
14418, Al Rankin, 39, 49
14571, Roland Nicol, 44, 36
10775, Lance O'Donnell, 23, 28
10139, Gail Reynolds, 40, 44
27001, Karin Cheung, 21, 45
21189, Len Gill, 28, 31
28716, Alexandra Irvine, 42, 36
22384, Arthur Chen, 39, 21
16413, Estelle McMahon, 42, 21
12017, Sandra Gorman, 37, 33
10941, Rosie Irwin, 33, 21
15025, Philippa Groves, 37, 20
16289, Syed Perry, 37, 31
11480, Miranda Fenton, 43, 47
14883, Toni Blackburn, 25, 31
12718, Jordan Summers, 32, 21
20197, Russ Webster, 44, 45
24476, Faith Maynard, 21, 45
14096, Camilla Marks, 46, 20
27621, Jessica Lin, 20, 29
16079, Tess Boyle, 33, 32
12986, Patrick Stacey, 21, 39
11892, Megan Conroy, 21, 20
27401, Peggy McLean, 21, 38
13285, Neville Chen, 26, 36
17562, Blake Thompson, 24, 33
26022, Rhys Short, 33, 27
22237, Cherry Wills, 37, 41
14788, Min MacLean, 46, 20
26376, Zac Wallace, 39, 45
10478, Ian Goldsmith, 45, 23
14632, Nicole Gale, 33, 40
25859, Clayton Warner, 49, 23
17735, Kirsten McBride, 28, 28
20482, Carly Carroll, 35, 43
15659, Suzi Porter, 27, 34
10351, Kym Townsend, 26, 26
17237, Kelvin Hodgson, 44, 22
11609, Edwin Evans, 25, 38
23807, Jonathon Curran, 20, 25
12159, Neville McFarlane, 21, 23
17342, Neal Rankin, 31, 40
16743, Charlene Cohen, 33, 33
13970, Claire McGrath, 47, 49
22015, Carmen Houghton, 48, 20
13101, Margot Gee, 22, 33
23035, Kristina Bateman, 21, 45
26293, Dallas Donnelly, 43, 31
26318, Krystal Nunn, 26, 37
15649, Bernie Doherty, 49, 47
11933, Matthew Lowe, 22, 31
12387, Tammy Williamson, 22, 23
13800, Dylan Ware, 23, 28
20076, Meg O'Keefe, 41, 38
21481, Cam Gray, 25, 36
31450, Blake Bennett, 40, 43
17585, Nicki Marks, 22, 38
15585, Tina Keenan, 27, 46
21578, Dean Hart, 49, 44
22525, Sheila Fogarty, 39, 39
16977, Kat Page, 47, 28
13750, Dominique Barton, 38, 29
24119, Dylan Mansfield, 38, 23
15136, Michele Cohen, 38, 49
13378, Cassie Best, 37, 44
16932, Meredith Lyon, 32, 42
12825, Ken Lawrence, 36, 39
17913, Pamela Day, 28, 41
18800, Lydia Nixon, 49, 44
17666, Fraser Buchanan, 46, 46
10985, Rohan Pham, 41, 38
25664, Iain Mercer, 37, 30
17700, Jayne Terry, 25, 36
27327, Patrica Carter, 28, 28
20038, Helena Kidd, 39, 38
14724, Charles Dunstan, 29, 47
10439, Nat Spence, 33, 29
24650, Arthur Schultz, 25, 20
10154, Damian Eddy, 31, 49
10040, Kristin Wiseman, 22, 41
14042, Dianne Walter, 27, 27
19494, Caroline O'Connell, 27, 49
23065, Colleen Edwards, 37, 36
13438, Gene Moyle, 25, 36
15370, Alf Hood, 45, 35
23046, Rosemary Tang, 28, 26
18139, Geraldine Dobson, 47, 29
13645, Nicky Coates, 42, 32
10429, Renae Gibbs, 32, 27
10916, Taryn Beveridge, 26, 43
14277, Craig Street, 30, 43
13656, Troy Webster, 21, 21
31043, Rosalie Wise, 29, 29
16869, Ray Ferguson, 27, 41
10489, Luke Bain, 42, 27
30115, Maxine Sweeney, 32, 36
11596, Craig Cheung, 43, 26
28054, Serena McIntosh, 49, 41
18548, Deb Oliver, 27, 32
12045, Vincent Cochrane, 26, 47
19555, Nicky Nielsen, 26, 27
28594, Kate Jorgensen, 48, 34
25693, Stanley John, 41, 48
24511, Josephine Leonard, 34, 23
29692, Larissa Pascoe, 21, 23
24777, Troy Groves, 36, 34
19967, Oscar Brown, 38, 45
19542, Kristine Wall, 35, 41
30659, Cindy McCormack, 48, 37
28236, Kane Hull, 21, 49
15911, Kellie Moody, 47, 48
22644, Roz Maxwell, 44, 20
26914, Geoffrey Healey, 45, 29
11273, Natalie Evans, 35, 25
15945, Sue Webb, 42, 49
12614, Gerry Hocking, 32, 42
16032, Aj Bowen, 29, 30
16089, Jean Townsend, 21, 21
10730, Nadia Healy, 49, 40
25882, Murray Brewer, 32, 31
20758, Cynthia Noble, 32, 41
18479, Owen Sawyer, 38, 28
15207, Harley Tobin, 49, 42
12243, Tom Singh, 26, 43
15794, Serena Ritchie, 23, 33
30095, Johanna Hosking, 26, 33
26454, Don Briggs, 45, 44
29590, Vince Collins, 47, 44
11032, Gemma McKay, 35, 22
14637, Sarah Marks, 30, 43
30430, Olivia Logan, 28, 37
30167, Gina Whyte, 31, 46
10018, Cathryn Carr, 21, 45
10409, Damian Lang, 20, 31
16661, Robyn Khan, 47, 37
22390, Jillian Jackson, 23, 45
16449, Timothy Potter, 40, 37
22780, Ric French, 23, 34
16989, Scott Meyer, 43, 26
19110, Con Le, 44, 22
14369, Prue Butcher, 39, 48
24307, Edwina John, 21, 41
27286, Tracy Nolan, 28, 24
21809, Allison Noonan, 41, 31
29772, Darryn Nolan, 41, 42
10709, Lee-Anne Chang, 26, 48
15844, Maya Pratt, 46, 34
27300, Dick Maynard, 28, 33
29183, Gerry McKenzie, 23, 45
17672, Kristian Lane, 28, 38
15672, Betty Milne, 34, 23
20714, Brent Firth, 26, 25
18007, Dane Shannon, 47, 25
14041, Carrie Casey, 23, 30
22464, Phil Jones, 37, 47
23058, Carmel Freeman, 30, 25
27999, Alastair Ross, 20, 45
13983, Georgie Dunn, 33, 47
19148, Dirk Seymour, 20, 49
21661, Chantal Bloomfield, 46, 46
29980, Deidre Dale, 21, 21
12199, Brad Stevens, 32, 32
21705, Anna Sinclair, 29, 42
17718, Chloe Meyer, 39, 44
17768, Anthea Zhao, 39, 46
27139, Kellie Goodman, 35, 47
16216, Jacob Watt, 46, 29
27450, Renee Callaghan, 25, 43
15067, Fiona Golding, 45, 24
10685, Luis Cannon, 37, 24
17412, Stanley Joseph, 38, 48
16246, Maree Ferguson, 42, 36
22659, Sandy Fowler, 32, 49
13598, Sarah Edmonds, 46, 33
20746, Lex Myers, 43, 22
19581, Samantha Slater, 37, 21
13146, Debra Schulz, 47, 25
12444, Ashlee Ridley, 29, 43
14051, Eileen Moss, 34, 45
14391, Rowan Hogan, 31, 34
30886, Amelia Perera, 33, 43
15416, Evan Fox, 49, 22
17814, Kerryn Simmons, 46, 37
14407, Mary Cahill, 30, 43
18342, Gerald Robb, 41, 41
17265, Kathleen Thomson, 27, 29
18202, Tracie Daniel, 24, 28
18850, Marco O'Connor, 35, 26
23705, Marnie Steele, 41, 49
26209, Eva Chalmers, 43, 21
29864, Donald Welch, 38, 29
30899, Jackson Gilmore, 44, 32
22083, Maree Rees, 24, 24
28916, Mia Chambers, 25, 40
19226, Carlo Schultz, 40, 47
18535, Kenny Bright, 45, 22
13218, Justine Kingston, 43, 30
18857, Nicky Tucker, 32, 32
12091, Allen Harvey, 33, 41
24375, Jen Kingston, 24, 45
23958, Erin Moloney, 41, 43
17958, Bruno Stacey, 33, 31
14846, Kayla Curtis, 28, 47
15583, Cindy Cairns, 49, 39
14832, Mohammed Penny, 41, 32
13785, Elise Blackburn, 44, 39
13922, Lachlan Quinn, 23, 35
21669, Allen McFarlane, 22, 42
11407, Jaclyn Hodgson, 35, 44
16179, Trent Ware, 25, 42
15765, Garry Donovan, 39, 36
10332, Kirsty Fisher, 47, 26
13829, Sue Cannon, 39, 30
26807, Phillipa Kendall, 49, 36
19284, Pamela Robins, 43, 32
13853, Trent Jordan, 46, 34
24370, Mary Sheppard, 20, 47
14971, Kurt Robson, 31, 28
21499, Lyndall McDougall, 37, 46
16281, Jenny Barnett, 23, 33
10965, Casey Page, 43, 22
10170, Kelli Callaghan, 30, 36
30615, Lloyd Rae, 40, 45
14339, Jenni Rae, 21, 20
28736, Les Sutherland, 39, 40
24449, Carlos Jones, 41, 44
24312, Lex David, 41, 32
29239, Jp Cousins, 37, 30
11040, Suzanne Reynolds, 32, 31
15629, Heather Arthur, 48, 39
13654, Maree Burnett, 34, 28
16788, Allison Lau, 28, 44
18813, Daisy Dawes, 27, 21
24107, Graeme Obrien, 46, 26
14026, Sonya Shannon, 30, 48
25647, Chantal Jacobs, 28, 45
24332, Antony Franklin, 48, 31
21384, Jean Lyon, 20, 41
19696, Daniela Bradshaw, 49, 24
24751, Leah Schmidt, 48, 45
12576, Olivia Myers, 46, 37
18995, Taylor Wilkins, 36, 21
13141, Meredith Low, 42, 38
10831, Catherine Saunders, 25, 21
22422, Nelson Penny, 32, 36
27923, Judith Spencer, 27, 49
14513, Tom Jensen, 23, 47
23914, Ellie Hickey, 34, 45
25380, Toni Crowe, 33, 37
14053, Elizabeth Duncan, 30, 30
13578, Sasha Warren, 49, 30
18777, Teresa Baker, 31, 42
19643, Deidre Bates, 20, 43
22074, Jemma King, 42, 31
14431, Dick McLaren, 28, 25
21273, Mel Bartlett, 20, 37
30189, Gabby Graham, 24, 23
19716, Lois Nixon, 34, 48
18350, Jemma Price, 20, 46
19367, Kelly Emery, 30, 30
20571, Esther Thomson, 23, 46
28902, Roslyn Lock, 27, 28
25718, Cam Andrews, 25, 43
13393, Michaela Green, 31, 28
17966, Rod Dillon, 31, 42
10153, Lyn de Silva, 32, 44
27128, Judith Lam, 32, 22
19407, Jen Harrison, 24, 33
25850, Cathy Giles, 21, 33
27803, Caroline Lu, 34, 26
29419, Graeme Beveridge, 49, 42
28556, Gary Garner, 20, 33
25591, Lynda Fogarty, 47, 44
13446, Kev Reynolds, 30, 41
12196, Rhys Brown, 35, 40
17134, Jim McGuire, 45, 39
16160, Ruth Doherty, 45, 47
16736, Charlie Meyer, 23, 32
11628, Zac McDermott, 24, 28
21882, Nelson Ridley, 41, 27
18456, Ray Hill, 21, 49
20962, Roger Woodward, 32, 36
19381, Carmen Benson, 48, 41
10776, Eleanor Jarvis, 22, 48
21750, Camilla Hutton, 37, 37
18069, Denis Cooper, 41, 31
24554, Coral Powell, 31, 23
26873, Gina Ramsay, 30, 42
15915, Raelene O'Leary, 41, 35
16293, Connie Mansfield, 43, 41
24565, Maggie Tonkin, 24, 31
10752, Justin Greenwood, 21, 24
22039, Narelle Norris, 33, 20
10127, Jordan Ali, 23, 49
20804, Doreen Barnett, 44, 35
15272, Rosemary Cheng, 28, 46
26729, Louisa Weber, 31, 45
17590, Margaret Knox, 28, 39
26444, Abby Keenan, 43, 45
14400, Geraldine Kenny, 20, 40
10217, Anna Devine, 41, 39
19607, Fay Hutchison, 30, 31
11581, Fiona Rees, 47, 43
11855, Rohan Mead, 40, 31
20009, Lex Bryant, 48, 42
12416, Adam Koch, 31, 36
17044, Neil Webb, 23, 32
32100, Martyn Higgins, 23, 38
14150, Charlotte Herbert, 49, 39
22571, Melissa Gibbons, 21, 45
19735, Martin Connell, 39, 37
19461, Lewis Wallace, 40, 41
13596, Rohan O'Halloran, 25, 42
13936, George McMahon, 20, 46
10307, Alastair Terry, 28, 46
21555, Tristan Scott, 26, 20
14494, Wally Delaney, 40, 42
18295, Fay McPherson, 37, 43
28397, Terrence Kaur, 22, 48
10604, Nelson Millar, 31, 22
18209, Gabrielle Walter, 36, 46
20500, Stefanie Pollock, 34, 21
33023, Debbie Harvey, 40, 24
12664, Jillian Baldwin, 25, 35
33178, Maureen Bradshaw, 27, 44
30715, Trisha Atkins, 37, 23
26876, Max McGregor, 21, 43
12555, Leesa Caldwell, 37, 33
14036, Margot Gallagher, 21, 29
14283, Kelvin Chen, 23, 37
16423, Tina Cole, 42, 46
28911, Rupert Roach, 31, 40
21531, Diane Muir, 26, 48
11793, Brian Cunningham, 21, 41
19281, Wade Kane, 26, 21
11435, Lindy McBride, 26, 40
16546, Marcus Reid, 41, 21
11116, Lou Abbott, 39, 35
14989, Dani Spencer, 31, 33
16580, Jones Finlay, 45, 40
18268, Leigh Fogarty, 38, 22
13710, Glenda Cain, 35, 27
13900, Allison MacLeod, 20, 23
16182, Peggy Crane, 35, 24
12433, Jenny Ellis, 26, 34
11767, Fran Cummings, 49, 31
28989, Len Molloy, 36, 24
10858, Ingrid Bryant, 36, 34
13036, Wayne Fulton, 36, 26
13005, Dorothy Oates, 33, 32
18311, Steve Turnbull, 35, 21
13433, Kirsty Beard, 25, 38
15827, Eve Barr, 22, 21
11974, Wes Schneider, 24, 44
19220, Ronald Parkes, 40, 26
13018, Nick Farmer, 40, 40
16431, Tracie Robinson, 46, 29
26201, Steven Paterson, 41, 35
21328, Martha FitzPatrick, 28, 37
21216, Stanley Fuller, 47, 20
24241, Brendan Reed, 43, 42
13265, Jesse Alexander, 36, 23
33496, Catriona Prior, 30, 24
25040, Bernie Crowley, 44, 28
32603, Brandon Watkins, 37, 33
16650, Stefan Kennedy, 40, 39
10821, Medical Guy, 26, 20
18110, Marnie McDermott, 42, 34
27766, Casey Campbell, 26, 22
13398, Lou Payne, 26, 44
17074, Jill McKenzie, 40, 25
15576, Reece Jackson, 25, 33
21731, Sonya Morley, 46, 21
20947, Kate Cornish, 40, 44
12320, Bev McKenzie, 36, 33
11263, Julia Hooper, 47, 22
22357, Sebastian Stewart, 24, 33
18204, Theresa Ferris, 49, 31
14820, Jordan Reed, 28, 45
13901, Taylor Wilson, 28, 33
25849, Tegan Stephen, 34, 43
19454, Kristie Day, 37, 34
28580, Faye Galea, 39, 41
15158, Renee Corbett, 35, 22
11295, Edwin Doherty, 35, 21
14567, Ana Poole, 32, 36
15950, Aidan Chambers, 31, 40
16912, Carl Lancaster, 23, 46
32343, Dani Nelson, 39, 35
18967, Esther Ritchie, 41, 24
11423, Laurence Humphries, 45, 30
13238, Brooke Crowe, 32, 29
12694, Ursula Hudson, 30, 47
14441, Carlo de Silva, 34, 34
31866, Adam Richmond, 24, 37
19626, Jason Ware, 33, 28
26203, Danielle Ramsay, 43, 49
21020, Beth Pike, 23, 49
15446, Leonie Norris, 29, 25
15077, Jones Gibson, 34, 25
18512, Taylor Millard, 23, 34
22245, Monika Nelson, 48, 33
14587, Grant Norman, 20, 38
33898, Dawn Houghton, 46, 38
10606, Larissa Carroll, 29, 33
31703, Meagan O'Shea, 32, 47
20114, Libby Vaughan, 22, 28
24499, Agnes Bloomfield, 25, 34
21331, Terry Golding, 48, 30
18556, Jeanette Nguyen, 35, 48
18658, Gwen Jarvis, 36, 49
10507, Rebekah Webb, 29, 41
11171, Maureen Cartwright, 46, 47
11783, Tracie Sheppard, 44, 36
25557, Min Cooke, 36, 23
17678, Bryce Cox, 30, 24
10750, Colleen Read, 26, 22
18606, Leonard Franklin, 20, 30
26647, Derek Lloyd, 29, 41
18976, Charles Dunne, 24, 41
13866, Syed Hamilton, 38, 42
24386, Sheryl Harding, 20, 20
23174, Kai Lang, 46, 22
25684, Rita Nguyen, 26, 43
27019, Corinne Ward, 45, 23
15758, Beverly Dillon, 25, 47
22311, Jerome Newton, 30, 20
31914, Lynda Kerr, 41, 37
21815, Jess Forster, 29, 44
21869, Dean Collins, 44, 31
27730, Lionel Jennings, 33, 48
22857, Brooke Hood, 33, 23
12519, Lee-Anne Gleeson, 48, 33
10887, Lauren Gray, 30, 26
22568, Lynette Hobson, 48, 49
12042, Lauren Jones, 36, 48
12950, Cherie Conroy, 42, 29
17325, Deidre Hayes, 32, 37
26365, Wally Rees, 27, 45
11686, Kai Bourne, 40, 21
22289, Dee FitzPatrick, 34, 22
17119, Ruby McGowan, 20, 46
24987, Margo Pascoe, 37, 40
19329, Bridget Davison, 38, 25
13869, Hilary Shaw, 26, 31
13790, Lois O'Sullivan, 40, 37
15238, Al Dunstan, 25, 39
10135, Juanita O'Keefe, 32, 43
17254, Jess Seymour, 37, 33
17328, Coral Cannon, 29, 26
11099, Janine Smart, 46, 20
20162, Sally Ingram, 47, 25
27752, Kimberly McBride, 29, 46
27901, Gerard Jensen, 26, 46
24240, Cindy Hoffman, 36, 33
13264, Roz Neville, 48, 39
23353, Cath Langford, 22, 35
14029, Jessie Law, 41, 45
23393, Lin Drummond, 37, 26
15361, Glen Montgomery, 24, 43
23362, Vickie Harrison, 32, 22
10443, Neal Christian, 40, 35
17985, Doug Sharp, 48, 31
18864, Brendan Patel, 20, 48
26118, Matt Myers, 34, 20
